Document Title;Abstract;Publication Title;Authors;Publication Year;Document Identifier;Publisher
Workshop Management and Control System Based on Digital Twin;Aiming at the connotation and characteristics of digital twin, and improving the level of informatization and intelligence of the workshop, a workshop management and control system based on digital twins is proposed, which can realize the management and control of the full life cycle of digital twins. Based on the physical production line model of the digital twin, the virtual and real joint debugging method of the digital twin workshop is constructed: the controller controls the virtual model, and the virtual model drives the simulation. The operation and control model of the digital twin is driven through the communication framework of OPC UA (Object Linking and Embedding for Process Unified Architecture), and the virtual and real interaction of the physical production line is used to timely reflect the operation of the workshop. From model building, model digital drive, virtual and real control joint debugging, to full life cycle workshop verification and design simulation, the visual monitoring of the digital twin workshop is finally realized.;2022 8th International Conference on Control, Automation and Robotics (ICCAR);"G. Wang; Z. Bing; Z. Hou; Y. Guan; X. Qi; M. Liu";2022;IEEE Conferences;IEEE
Using UML and OCL Models to Realize High-Level Digital Twins;Digital twins constitute virtual representations of physically existing systems. However, their inherent complexity makes them difficult to develop and prove correct. In this paper we explore the use of UML and OCL, complemented with an executable language, SOIL, to build and test digital twins at a high level of abstraction. We also show how to realize the bidirectional connection between the UML models of the digital twin in the USE tool with the physical twin, using an architectural framework centered on a data lake. We have built a prototype of the framework to demonstrate our ideas, and validated it by developing a digital twin of a Lego Mindstorms car. The results allow us to show some interesting advantages of using high-level UML models to specify virtual twins, such as simulation, property checking and some other types of tests.;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"P. Muñoz; J. Troya; A. Vallecillo";2021;IEEE Conferences;IEEE
Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with the real data obtained from the physical equipment. Development and implementation of the Digital Twin technology are one of the main challenges for today’s industry, more detailed studies are needed on design methods for Digital Twins. Besides using Digital Twin as a high-quality simulation, one of the commitments is monitoring and maintaining control of the whole system via a constant live link between virtual and physical entities. The related research study presents a detailed structural description of the developed Digital Twin virtual entity and the development of a framework that allows Robot Operating System (ROS) to securely communicate with remote Digital Twins via the Internet and harness ROS’s adaptability across vast distances and multiple systems. This paper is an extended version of the authors’ International Conference on Electrical Power Drive Systems (ICEPDS20) paper, in which we propose a development case study of Digital Twin for an electric motor based on an empirical performance model.;IEEE Access;"A. Rassõlkin; V. Rjabtšikov; V. Kuts; T. Vaimann; A. Kallaste; B. Asad; A. Partyshev";2022;IEEE Journals;IEEE
A Model-Driven Approach for Situational Intelligence & Operational Awareness;In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a “digital twin” of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.;2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE);"S. Shokooh; G. Nordvik";2019;IEEE Conferences;IEEE
Knowledge driven rapid development of white box digital twins for industrial plant systems;Industrial systems like power plants need a significant domain and engineering expertise for their efficient operations. Experts make decisions for multiple operational objectives such as minimizing cost, maximizing productivity, ensuring compliance to environmental conditions, etc. However, deciding strategies to achieve an objective can be highly non-trivial as it may lead to conflicting outcomes concerning other objectives. Modern digital twin(DT) technologies make it possible to build systems to support such decision-making to validate critical decisions. DTs are developed as one-off solutions for individual plants in the current practice, requiring high efforts and domain knowledge. Our work demonstrates the use of a knowledge-driven approach to reduce DT development efforts significantly. The main contribution of our work is an end-to-end architecture that allows us to explicate, structure, and reuse domain knowledge to semi-automate DT development for industrial plants. We integrate technologies like semantic web, model-driven engineering, and formal methods to realize the architecture. Our approach to developing a DT supporting a fault management scenario in a power plant reduced 70% development time and 50% manual efforts.;IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society;"A. B.; S. R.C.; B. B.; R. Dhakshinamoorthy; S. A.; N. S.";2021;IEEE Conferences;IEEE
Interface Management with Closed-Loop Systems Engineering (CLOSE);Interfaces (IF) and their Management (IFM) are a particular challenge in the successful development of complex products and products operating in a complex environment. In Closed-Loop Systems Engineering (CLOSE) IFM is fully integrated into its Model-Driven Engineering Process (MDEP). CLOSE provides fully automated IF modelling, traceable IF history, an efficient handling of IF negotiations and the effective de-coupling of interfacing systems. Especially in combination with CLOSE's Experimentable Digital Twins (EDTs), IFM becomes a vital resource for the development process, rather than the parallel process it so often is today, supporting early variant evaluation, balance checks and impact analysis, which makes it a central asset for developing better products. This paper describes IFM in CLOSE and illustrates it with a case study of a Martian robot for autonomous scientific missions.;2018 IEEE International Systems Engineering Symposium (ISSE);"M. Di Maio; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann; M. Hoppe; G. -D. Kapos";2018;IEEE Conferences;IEEE
Urban Intelligence: Toward the Digital Twin of Matera and Catania;The Urban Intelligence (UI) paradigm conceived by CNR consists of an ecosystem of digital technologies joined within a Digital Twin (DT) of the city aimed at improving the city governance towards goals addressed also by the UN Agenda 2030, such as urban environment, sustainability and resilience, wellbeing and quality of life, local development, and social inclusion. In particular, UI provides a set of candidate policies in complex scenarios, and supports policy makers and stakeholders in designing shared, evidence-based, and integrated solutions. UI is being applied for the first time to two Italian cities, Matera and Catania, paving the way for a deeper scientific framing of the paradigm, as well as for the technological development and testing of the core UI ecosystem in real-life situations. The paper introduces the UI key-concepts and components, illustrates the ongoing experimentations in these pilot cities related to the development of two DTs on parts of the urban areas, and presents some initial results.;2022 Workshop on Blockchain for Renewables Integration (BLORIN);"G. Castelli; A. Cesta; M. Ciampi; R. De Benedictis; G. De Pietro; M. Diez; G. Felici; R. Malvezzi; B. Masini; R. Pellegrini; A. Scalas; G. Stecca; L. Strambini; G. Tognola; P. Ravazzani; E. F. Campana";2022;IEEE Conferences;IEEE
Developing a Physical and Digital Twin: An Example Process Model;As a result of the fast development of technologies and diversity of requirements, complexity exists not only in a system itself but also in the development process and environment. The complexity in the development process comes from specialization and concurrency, and a Digital Twin (DT) has the potential to mitigate these issues. We hope, during the process of building a DT, the accidental complexity can be minimized by application of model-based systems engineering and the Multi-Paradigm Modeling (MPM). In this paper, we give an example of the process of building a DT combined with a process model. Our long term goal is to model the development of various DTs to identify the commonalities and variations across multiple DTs.;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"H. Feng; C. Gomes; M. Sandberg; C. Thule; K. Lausdahl; P. G. Larsen";2021;IEEE Conferences;IEEE
Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;One of the main challenges to implement Industry 4.0 technologies within the industrial fabric is the lack of suitable concrete models and tools that demonstrate the potential benefits of embracing the digital transformation process. To overcome this challenge, over the past years, various Industry 4.0 automation and robotics providers have presented solutions based on visual block programming languages, which follow an emerging low-code approach to reduce the entry barriers of digital technologies. However, block-based low-code tools typically lack the formality introduced by specification languages, limiting their ability to model the industrial processes formally. Taking this into account, in this article, we present the combination of specification languages and visual block programming languages to enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers. In particular, we combine SDL and Snap! to create SDL4Snap!, an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes. Overall, the resulting tool has the potential to reduce the entry barrier to Digital Twins in small and medium enterprises, which are part of the late majority and laggard groups regarding the adoption of digital technologies in the context of Industry 4.0.;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"X. P. i. Palomés; P. Tuset-Peiró; P. F. i. Casas";2021;IEEE Conferences;IEEE
A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;"The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0. The DT provides a virtual representation of products along their lifecycle that enables the prediction and optimization of the behavior of a production system and its components. A methodology design using model-driven engineering (MDE) is proposed that strives toward being both flexible and generic. This approach is presented at two levels: first, a DT is modeled as a composition of basic components that provide basic functionalities, such as identification, storage, communication, security, data management, human-machine interface (HMI), and simulation; second, an aggregated DT is defined as a hierarchical composition of other DTs. A generic reference architecture based on these concepts and a concrete implementation methodology are proposed using AutomationML. This methodology follows an MDE approach that supports most of the DT features currently proposed in the literature. A case study has been developed, the proposed ideas are being evaluated with industrial case studies, and some of the preliminary results are described in this article. With the case study, it is possible to verify that the proposed methodology supports the creation and the deployment process of a DT.";Proceedings of the IEEE;"G. N. Schroeder; C. Steinmetz; R. N. Rodrigues; R. V. B. Henriques; A. Rettberg; C. E. Pereira";2021;IEEE Journals;IEEE
Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;Online simulation systems are mostly model-driven without considering about real-time interactive controlling with physical systems. In order to enhance the two-way interaction control capability of digital twins and physical systems, this paper proposes a digital twin-driven model based on Petri Net. It defines a state incremental update place for enhancing the ability of real-time simulation, and defines a feedback control structure to control the function of opening and closing the real industrial pipelines. Taking the industrial parameters of the suit processing line as experimental data, the feasibility of online synchronization communication and feedback control of the digital twin driven model and the actual production line was verified.;2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA);"Y. Dai; Y. Shi; Z. Zhang; R. Tao; F. Fang";2020;IEEE Conferences;IEEE
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;In recent years, the manufacturing industry sector has undergone major changes. Better known by the term Industry 4.0, this trend describes the transformation of centrally managed production systems towards decentralized value creation networks. As this leads to a strong increase regarding complexity, engineering such current or future manufacturing systems becomes a difficult task. An example for such a challenging engineering process is the selection of technical implementations fulfilling all requirements and performing the needed functions. In order to support this process, model-based systems engineering (MBSE) and its expressions like model-driven architecture (MDA) proved to be promising approaches. However, semi or fully automated model transformations, which could deal with the aforementioned issue, are still yet widely unexplored in the industrial area. Therefore, this paper introduces an approach transforming the logical architecture of a system into its technical implementation by utilizing AutomationML. As the goal is to perform this step automatically, additional tool support is provided by developing specific software. The results of this approach are thereby evaluated by a real-world case study, which is applied according to the concepts of the Reference Architecture Model Industrie 4.0 (RAMI 4.0).;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"C. Binder; A. Calà; J. Vollmar; C. Neureiter; A. Lüder";2021;IEEE Conferences;IEEE
Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;A modern trend for industry digitalization brings new demands for the development and application of the modeling and simulation approach. It is already not enough to have only a virtual representation of the object and run it independently from the physical object. The Digital Twin (DT) aspect indicates a connection between the physical object and the corresponding virtual twin established by generating real-time data using sensors. The DT represents physical object operation throughout its life cycle, making it an essential tool for improving that object's reliability. In this paper, an application of the DT service unit for AC motor stator inter-turn short circuit fault detection is presented. According to real-time measurements, Linux Robot Operation System (ROS) simulates AC electrical machine-specific behavior in case of unbalanced stator currents and notify about possible fault appearance and propagation. Fault, such as discussed in the paper (AC machine stator inter-turn) is considered one of the most prevalent possible electrical motor failure.;2021 28th International Workshop on Electric Drives: Improving Reliability of Electric Drives (IWED);"V. Rjabtšikov; A. Rassõlkin; B. Asad; T. Vaimann; A. Kallaste; V. Kuts; S. Jegorov; M. Stępień; M. Krawczyk";2021;IEEE Conferences;IEEE
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;Models at runtime have been initially investigated for adaptive systems. Models are used as a reflective layer of the current state of the system to support the implementation of a feedback loop. More recently, models at runtime have also been identified as key for supporting the development of full-fledged digital twins. However, this use of models at runtime raises new challenges, such as the ability to seamlessly interact with the past, present and future states of the system. In this paper, we propose a framework called DataTime to implement models at runtime which capture the state of the system according to the dimensions of both time and space, here modeled as a directed graph where both nodes and edges bear local states (ie. values of properties of interest). DataTime provides a unifying interface to query the past, present and future (predicted) states of the system. This unifying interface provides i) an optimized structure of the time series that capture the past states of the system, possibly evolving over time, ii) the ability to get the last available value provided by the system's sensors, and iii) a continuous micro-learning over graph edges of a predictive model to make it possible to query future states, either locally or more globally, thanks to a composition law. The framework has been developed and evaluated in the context of the Intelligent Public Transportation Systems of the city of Rennes (France). This experimentation has demonstrated how DataTime can deprecate the use of heterogeneous tools for managing data from the past, the present and the future, and facilitate the development of digital twins.;2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS);"G. Lyan; J. -M. Jézéquel; D. Gross-Amblard; B. Combemale";2021;IEEE Conferences;IEEE
AAS Capability-Based Operation and Engineering of Flexible Production Lines;"Lot-size-one systems as well as plug and produce concepts imply (1) producing increased variety of products in a highly flexible and timely manner, and (2) making commissioning and maintenance more flexible. The speed with which manufacturers, in particular SMEs, can reconfigure the production to a new run and thus respond to clients and avoid costly machine downtime is critical to maintaining commercial success and profit margins. The manufacturing systems of tomorrow must offer a high degree of autonomy, be quickly re-planned to other operations, and cope with a wide variety of unforeseen situations, in a secure and safe manner. In this context, the Asset Administration Shell (AAS) is an emergent standard that leverages the digital twin approach and provides concepts for describing capabilities and skills of I4.0 components in order to automate the reconfiguration process. This article proposes a capability-based operation and engineering approach to tackle the syntactic and semantic interoperability problems in flexible production lines. We demonstrate the implementation of the AAS standard in the open source model-driven workbench Papyrus; then we assess its usability for modeling a production cell use case in order to implement a capability-based reconfiguration approach for flexible production lines.";2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"Y. Huang; S. Dhouib; J. Malenfant";2021;IEEE Conferences;IEEE
An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;The future intelligent manufacturing systems should possess a high degree of autonomy, which is able to monitor the entire production process, quickly re-plan operations, and respond to various unforeseen situations in a secure and safe manner. This can achieve rapid response to customers and avoid costly machine downtime, which is crucial to maintaining business success and profitability. The Asset Administration Shell (AAS) is an emerging standard in the I4.0 (Industry 4.0) domain. Based on the concept of digital twins, it provides concepts for describing the digital representation of I4.0 assets including their capabilities and skills. The AAS provides also responses to the challenge of syntactic and semantic interoperability that the flexible and autonomous production lines are facing. In this article, we propose a capability-based operation and engineering approach for flexible production lines. Our approach is relying on the AAS standard which is a very wide and rich specification. Consequently, we describe the subset of AAS modelling concepts necessary for our approach, we clarify their semantics and we show their usage through a production cell use case. Furthermore, we demonstrate how these modelling concepts were tooled as an extension of the open source model-driven workbench Papyrus.;IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society;"Y. Huang; S. Dhouib; J. Malenfant";2021;IEEE Conferences;IEEE
Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;In imperfect multiple-input multiple-output (MIMO) systems, model-based methods for performance prediction and optimization generally experience degradation in the dynamically changing environment with unknown interference and uncertain channel state information (CSI). To adapt to such challenging settings and better accomplish the network auto-tuning tasks, we propose a generic learnable model-driven framework. We further consider transmit regularized zero-forcing (RZF) precoding as a usage instance to illustrate the proposed framework. The overall process can be divided into three cascaded stages. First, we design a light neural network for refined prediction of sum rate based on coarse model-driven approximations. Then, the CSI uncertainty is estimated on the learned predictor in an iterative manner. In the last step the regularization term in the transmit RZF precoding is optimized. The effectiveness of the generic framework and the derivative method thereof is showcased via simulation results.;GLOBECOM 2022 - 2022 IEEE Global Communications Conference;"J. Su; F. Meng; S. Liu; Y. Huang; Z. Lu";2022;IEEE Conferences;IEEE
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;Traditionally, enterprises had relied on information systems (IS) as a medium to represent reality, but recently, there is a growing trend among IS scholars admitting that contemporary environment is calling for a change in the view about the IS' implications in our lives. They acknowledge that our world is increasingly shaped by what is created and performed in various digital environments. In this view, we ask how conceptual modelling (as a particular manifestation of IS) could be used to shape this new environment while continue being used as a means to represent the domain of discourse. This work at hand presents a proof-of-concept for the new enterprise systems where conceptual modelling plays a key role and the modelling tool acts as a transition layer between physical and digital realities.;2022 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC);"A. Chiș; A. -M. Ghiran; R. A. Buchmann";2022;IEEE Conferences;IEEE
Holistic Network Virtualization and Pervasive Network Intelligence for 6G;In this tutorial paper, we look into the evolution and prospect of network architecture and propose a novel conceptual architecture for the 6th generation (6G) networks. The proposed architecture has two key elements, i.e., holistic network virtualization and pervasive artificial intelligence (AI). The holistic network virtualization consists of network slicing and digital twin, from the aspects of service provision and service demand, respectively, to incorporate service-centric and user-centric networking. The pervasive network intelligence integrates AI into future networks from the perspectives of networking for AI and AI for networking, respectively. Building on holistic network virtualization and pervasive network intelligence, the proposed architecture can facilitate three types of interplay, i.e., the interplay between digital twin and network slicing paradigms, between model-driven and data-driven methods for network management, and between virtualization and AI, to maximize the flexibility, scalability, adaptivity, and intelligence for 6G networks. We also identify challenges and open issues related to the proposed architecture. By providing our vision, we aim to inspire further discussions and developments on the potential architecture of 6G.;IEEE Communications Surveys & Tutorials;"X. Shen; J. Gao; W. Wu; M. Li; C. Zhou; W. Zhuang";2022;IEEE Journals;IEEE
A neural control of the parallel Gas Turbine with differential link;Gas turbine engine has the highest performance in the engine rotation. The performance of the types of modern gas turbines could able up to 44%. In specific applications, gas turbines are used for equipment such as electrical generators, aircraft engines, high-speed boat … The applications of gas turbine are used to transmit turbine, cabinet pull in eneral[3],[5],[6],[9],[10],[12],[15]. However, there have been no published works on the use of dual turbine. This paper presents an artificial neural network controller to control Double Differential Gas Turbine (DDGT) by use algorithm to synchronize the speed of two turbines at each variable turbine load to reduce low power balance in the system. From the Rowen's model of control for a turbine, the author analyzed and combined with the existing model to construct a dual turbine combinatorial structure coupled by differential coupling. Model-driven control algorithms are used as training grounds for artificial neural networks (ANNs) to replace traditional PID controllers. Because the double tubine construction is strong nonlinear system, modeling is directly transformed from the object model. Simulation results for a dual-turbine twin-turbine combination of 32MW, demonstrating the suitability of the theory. Simulation results show that ANN can be deployed into practice to replace PID controllers to increase control accuracy.;2017 International Conference on System Science and Engineering (ICSSE);Nguyen Hoang Mai;2017;IEEE Conferences;IEEE
The THREAT-ARREST Cyber Range Platform;Emerging technologies are facilitating our daily activities and drive the digital transformation. The Internet of Things (IoT) and 5G communications will provide a wide range of new applications and business opportunities, but with a wide and quite complex attack surface. Several users are not aware of the underlying threats and most of them do not possess the knowledge to set and operate the various digital assets securely. Therefore, cyber security training is becoming mandatory both for simple users and security experts. Cyber ranges constitute an advance training technique where trainees gain hands-on experiences on a safe virtual environment, which can be a realistic digital twin of an actual system. This paper presents the cyber ranges platform THREAT-ARREST. Its design is fully model-driven and offers all modern training features (i.e. emulation, simulation, serious games, and fabricated data). The platform has been evaluated under the smart energy, intelligent transportation, and healthcare domains.;2021 IEEE International Conference on Cyber Security and Resilience (CSR);"G. Hatzivasilis; S. Ioannidis; M. Smyrlis; G. Spanoudakis; F. Frati; C. Braghin; E. Damiani; H. Koshutanski; G. Tsakirakis; T. Hildebrandt; L. Goeke; S. Pape; O. Blinder; M. Vinov; G. Leftheriotis; M. Kunc; F. Oikonomou; G. Magilo; V. Petrarolo; A. Chieti; R. Bordianu";2021;IEEE Conferences;IEEE
