;Title;DT Definition;modeling language;model type;notation;MDE technique;direction;source;target;purpose;domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;notes;Reviewer;Reason;Notes;model processing technique;Spalte3;model usage technique;Modeling Tool;Notes.1;purpose of MDE application;purpose of DT;DT definition;Spalte1;Spalte4;Spalte2;notes3;purpose of MDE technique;Unnamed: 18
26;Model-Driven Development of a Digital Twin for Injection Molding;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;Classdiagrams;structure;textual;code generation;;Classdiagrams;Java;domain description;C  Manufacturing;Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"domain experts can easily optimize their inj, modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
27;Model-Driven Development of a Digital Twin for Injection Molding;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;Event language;behavior;textual;model interpretation;;Event model;;specifying the behavior of the DT based on Event, condition action;C  Manufacturing;Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"domain experts can easily optimize their inj, modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
28;Model-Driven Development of a Digital Twin for Injection Molding;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;design of experiment language;rule;textual;code generation;;OPCUA model;Java;Setting up an experiment for optimization;C  Manufacturing;Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"domain experts can easily optimize their inj, modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
29;Model-Driven Development of a Digital Twin for Injection Molding;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;OPC UA DSL;structure;textual;code generation;;;;communication;C  Manufacturing;Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"domain experts can easily optimize their inj, modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
30;The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
31;A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
32;Model-driven engineering city spaces via bidirectional model transformations; In the realm of smart cities, a digital twin is a virtual model of a citya model representation of the physical world;CityGML (BIM);structure;graphical;Model to Model Transformation;bi;3D model;graph structure;syncronization between models;F  Construction;Plan;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;domain experts can formulate them;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
33;Model-driven engineering city spaces via bidirectional model transformations; In the realm of smart cities, a digital twin is a virtual model of a citya model representation of the physical world;cyber-physical spaces;structure;textual;Model to Model Transformation;bi;graph structure;3D model;syncronization between models;F  Construction;Plan;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;domain experts can formulate them;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
34;A New 5S Radar Structure Design Model Driven by Digital Twin;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
35;Towards Reactive Planning with Digital Twins and Model-Driven Optimization;DTs enable a bi-directional data flow between a physical system and its virtual representation, requiring different software components to enable this communication;Henshin  graph transformation rules;behavior;textual;model interpretation;;metamodel, graph transformations, and two runtime models;;identify deviations between actual and expected state;;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
36;Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
37;Performance Evaluation: Model-Driven or Problem-Driven?;;;;;;;;;;;;;;;;;;Jerome;Challenge/Position Paper;;;;;;;;;;;;;;;
38;Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;;;;;;;;;;;;;;;;;;Jerome;Challenge/Position Paper;;;;;;;;;;;;;;;
39;Applying a Healthcare Web of Things Framework for Infertility Treatments;;;;;;;;;;;;;;;;;;Jerome;Challenge/Position Paper;;;;;;;;;;;;;;;
40;Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system. ;MontiArc;;textual;code generation;;MontiArc model;Java code;generation of dt architecture;;Operate;;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
41;Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system. ;MontiGem GUI Model;;textual;code generation;;GUI Model;Webpage;visualization;;Operate;;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
42;Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;A digital twin of a system consists of a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system. ;Classdiagram;;textual;code generation;;CD;Java code;data modelling;;Operate;;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
43;Dynamic design method of digital twin process model driven by knowledge-evolution machining features;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Hier wurde nie ein Modell gezeigt. Viel bla und wenig inhalt;;;;;;;;;;;;;;
44;The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Keine Details;;;;;;;;;;;;;;
45;Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin; A digital twin allows us to reason about a physical and/or ideal assets in the virtual (i.e. cyber) space thus providing a necessary foundation for complex and large cyber-physical systems.;AAS model;structure;;code generation;;AAS;Target language-specific;generate usable code in an sdk or a library;;;;;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
46;Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;;;;;;;;;;;;;;;;;;Jerome;No Model used;Reference Architecture;;;;;;;;;;;;;;
47;Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;;;;;;;;;;;;;;;;;;Jerome;No Model used;Wie konnte das extrahiert werden? weder MDE noch MBE im Paper;;;;;;;;;;;;;;
48;Data- and model-driven digital twins for design and logistics control of product distribution;;;;;;;;;;;;;;;;;;Jerome;No Model used;;;;;;;;;;;;;;;
49;Interface Management with Closed-Loop Systems Engineering (CLOSE);;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Nicht genügend Infos. Reden zwar von MDE aber zeigen weder Modelle noch gehen sie darauf ein was wohin generiert/transformiert wird;;;;;;;;;;;;;;
50;Urban Intelligence: Toward the Digital Twin of Matera and Catania;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Keine Details;;;;;;;;;;;;;;
51;Developing a Physical and Digital Twin: An Example Process Model;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;MBSE;;;;;;;;;;;;;;
52;Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;Digital Twin is a virtual re- production of a system based on simulations, real-time and historical data that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system ;SDL;behavior;graphical;code generation;;SDL model;GPL code;execute/simulate modeled behavior;;Design;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;"low-code programming; enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers ; create an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes";;"4-5: das Ding läuft ""im Labor""";;Jerome;;;;;;;;;;;;;;;;
53;Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;Digital Twin is a virtual re- production of a system based on simulations, real-time and historical data that allows representing, understanding, and predicting scenarios of the past, present, and future, with verified and validated models, and synchronized at a specified frequency and fidelity with the system ;SDL;behavior;graphical;Model to Model Transformation;bi;SDL model;Discrete Event System Specification (formal model for simulation engines);execute/simulate modeled behavior;;Design;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;"low-code programming; enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers ; create an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes";;"4-5: das Ding läuft ""im Labor""";;Jerome;;;;;;;;;;;;;;;;
54;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;DT appears as a virtual representation of the physical product, a digital shadow that contains all its information and knowledge [15]. The DT is connected to the physical part in some way, so as to allow data transfer from the physical to the cyber part.  ;AutomationML;structure;textual;model interpretation;;AutomationML models;;Syncronizing data from the physical system with the model;C  Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;reusability of similar basic components;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
55;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;DT appears as a virtual representation of the physical product, a digital shadow that contains all its information and knowledge [15]. The DT is connected to the physical part in some way, so as to allow data transfer from the physical to the cyber part.  ;AutomationML;structure;textual;code generation;;AutomationML models;GPL;Python script translate DT and Physical Device models into REST communication interface;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Operated;"reusability of similar basic components; utomated the deployment process";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
56;Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;the digital twin, that is, real-time data synchronization and feedback control of the entity;PetriNets;behavior;;model interpretation;;Petri net model;;online syncronization of physical and digital system;C  Manufacturing;Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;single source of truth for simulation;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
57;Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;;AutomationML;structure;;Model to Model Transformation;;AutomationML models and Requirements specification;best fitting automationML model including instantiation based on requirements;Find the best fitting machine for the job to be done;C  Manufacturing;Plan;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed; providing metadata for each of the machines;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;Double Check required --> unsicher weil unpräzise in Paper;;;;;;;;;;;;;;
58;Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
59;DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;The Digital Twin of DATATIME represents the set of graph instances of the model, over the time.;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;"""as future work, we plan to provide DSLs for the main contributions""";;;;;;;;;;;;;;
60;AAS Capability-Based Operation and Engineering of Flexible Production Lines;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Die haben einfach AAS nachmodelliert;;;;;;;;;;;;;;
61;An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Kopie von AAS Capability-Based Operation and Engineering of Flexible Production Lines;;;;;;;;;;;;;;
62;Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
63;Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;;;;;;;;;;;;;;;;;;Jerome;Short Paper (Extended Abstract): <4 Seiten;;;;;;;;;;;;;;;
64;Holistic Network Virtualization and Pervasive Network Intelligence for 6G;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;network architecture + AI models;;;;;;;;;;;;;;
65;A neural control of the parallel Gas Turbine with differential link;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Math models + AI;;;;;;;;;;;;;;
66;The THREAT-ARREST Cyber Range Platform;;;;;;;;;;;;;;;;;;Jerome;No Model used;;;;;;;;;;;;;;;
0;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;DTs are digital representations of cyber-physical assets or processes that enable advanced control, decision making, and optimization.;MontiArc / MontiGem (useing UML);structure;;;;MontiArc;GPL-code;;J  Information and Communication;Design, Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;Reducing the effort for engineering the communication interfaces between CPS and DT implemented as information systems;Although model-driven software engineering (MDSE) provides the necessary methods to generate these connections, these methods have not yet been applied to integrated development and connection of DTs to CPSs.;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;code generation;;tagging;;;;to manage a CPS;;;;;;Reducing the effort for engineering the communication interfaces between CPS and DTs implemented as information systems;
1;Measuring the Fidelity of Digital Twin Systems;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
2;Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
3;Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
4;Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;However, the characteristics commonly associated to the DT are that it must be able to 1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system.;BPMN / UML;behavior;;;uni;BPMN;UML Activity model;;N  Administrative and Support Service Activities;Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;Correlatively model complementary aspects of the system;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;Multi-Paradigm Modeling;;;;emulate the sorting CPPS via Multi-Agent System;;;;;;A MPM approach completely driven by the business process;
5;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;A Digital Twin (DT) is a virtual representation of a physical product, asset, process, system, or service that allows us to understand, predict, and optimise their performance for better business outcomes.;ODM, BT-model;behavior;;;uni;FT;BT;;J  Information and Communication;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;Models allow the operators react more quickly and more precisely to alarms raised by the station;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;ODM (Operations-Dedicated Model);;;;Contribute to the stations architecture and robustness continuous improvement, through increasing its fault detection and mitigation capabilities.;;;;;;Construct Operations-Dedicated Models from Fault Trees, using the Behaviour Tree formalism;
6;Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;A digital twin (DT) of a system consists of a set of models of the system, a set of contextual data traces and/or their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respects to the original system.;MontiArc, MontiThings ADL, C&C Architectures;behavior;;;uni;MontiThings;Code;;IoT;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;-;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation, code generation;;-;;;;Leverage digital twins to collect the required data.;;;;;;One of the advantages of our model-driven approach is that there is no manual work involved when recording or replaying system traces.;
7;CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;-;SysML2, CPSAML;;;;uni;SysML 2;Code (C++);;H  Transportation and Storage;Design;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"Model engineering abstracts real world concepts in a way,
such that only the relevant properties are left. A model therefore
is a simplified representation of reality. This helps planning and
designing complex systems, as a model should give a common sense
of the underlying system.";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation, code generation;;Multi Paradigm Approach;;;;;;;;;;better support both the system architect and the operator for the development of a mobile CPS. The system architect only keeps the focus on her interests through the introduced DSL, while the operator is supported by the generated cockpit application. In addition, the used code generation should save a lot of implementation effort for developers;
8;On the Engineering of IoT-Intensive Digital Twin Software Systems;Digital Twins (DT) are software systems representing different aspects of a physical or conceptual counterpartthe real twin, which is instrumented with several sensors or computing devices that generate, consume and transfer data to its DT with different purposes;GEMINIS, MRAC, MIAC;structure, behavior;;;;;;;H  Transportation and Storage;Operate;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Operated;;"- Define a DT metamodel with sufficient expressiveness to properly describe the structural characteristics (i.e., observable properties) of a real twin and their relationships with context sources.
- Identify and undertake convenient actions regarding the possible drift of DT models (i.e., inaccuracy of originally expected behaviour).
- Determine when a DT is sufficiently mature to consider switching the control of behavioural models from an MRACbased approach, where simulations are used as reference inputs to adapt the behaviour of DT models, to an MIAC based approach that identifies control parameters using data and knowledge from the operating real twin.
- Propagate required changes in definitions of structural models and address their impact on related behavioural models.
- Enable the composition of DTs into larger DT structures and guarantee the interoperability of DT models.";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;model interpretation;;;;;;"Coping with the dynamic and uncertain characteristics of
the physical world (i.e., faced by the real-twin)";;;;;;In our research, we aim to advance the modelling of DTs from a data-driven, control, and MDE-based perspective, in which ML-based descriptive and predictive behaviour, and simulation and experimentation services can be supported, thus providing a platform for the development and extension of IoT-intensive DTSS.;
9;A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
10;Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;AAS;AAS, UML, OML;behavior;;;bi;AAS;OWL;;C  Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;-;0;;Ann;;;Model to Model Transformation;;General concepts Mapping;;;;, the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories;;;;;;need to fill the gap regarding semantic interoperability, in order to allow efficient interactions between Industry 4.0 components.;
11;Challenges and Possible Approaches for Sustainable Digital Twinning;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
12;Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
13;Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;A digital twin is a software system consisting of models, data, and services to interact with a cyber-physical system for a particular purpose;SysML v2, OpenPRA, FT, XML;structure, behavior;;;uni;SysML v2;hybrid reliability models;;C  Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;Our M2M transformation algorithm parses a SysML v2 file and searches for keywords;;;;They serve to monitor, better understand and optimize the behavior of their respective counterparts.;;;;;;It provides system engineers with the capability to design and visualize models for various aspects of hardware and software systems and their components.;
14;Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;A Digital Twin is a digital 3D - CAD replica of a living or non-living physical entity, allowing to replicate the same behavior as that of the actual component.;"SysML,  levels of
detail (LOD) mechanism";structure;;;uni;SysML v2;3D environment;;D  Electricity, Gas, Steam and Air Conditioning Supply;Design, Implement, Test;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;;;;;;;;;;;The growing system complexity requires the implementation of new development methods to keep time, quality, and costs under control. ModelDriven Systems Engineering (MDSE) [8] addresses the complexity of the system with a model-centric engineering methodology.;
15;Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
16;Generating customized low-code development platforms for digital twins;"A digital twin is ""a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";MontiGem;;;;;MontiGem;LowCode DT;;C  Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;The models we use for configuration are more abstract than programming languages and allow domain experts to create powerful full digital twin applications nonetheless.;DT as part of an ecosystem;"4-5: das Ding läuft ""im Labor""";;Ann;;;code generation, model interpretation;;low.code development;;;;Leveraging DTs that monitor and control the system of interest can reduce configuration time, save energy, and prevent waste.;;;;;;generate tailored LCDPs (Low-Code Development Platforms);
17;A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
18;Meta-model-based shop-floor digital twin architecture, modeling and application;Shop-floor Digital Twin (SDT), as the digital counterpart of physical entities including the humans, machines, material, methods and environments in the existing shop-floor, mirrors the physical shop-floor behavior and performance in the virtual space. The digital counterpart is comprised of a series of semantic digital models and simulation models of the physical shop-floor and has the automatic data synchronization between the physical and virtual space. By establishing the automatic data flow between the physical shop-floor and digital counterpart, the semantic digital models and simulation models could be converted to digital shadow and further evolved into SDT.;MOF, SysML;behavior;;;;;;;C  Manufacturing;Operate;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;;;Ann;;;model interpretation;;meta-model concept;;;;DT has a strong vitality in the whole product lifecycle and could provide strong support for the digital and intelligent transformation of manufacturing industry in the aspects of virtual model construction and cyber-physical information fusion.;;;;;;;
19;3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
20;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;a digital twin of a system consists of a set of models of the system? a set of digital shadows? and provides a set of services to use the data and models purposefully with respect to the original system;MontiGem;structure, behavior;;;uni;UML, MontiGem;Source Code;;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;Suitable models in the early phase are engineering models and models to describe behaviortobe? that can be simulated and analyzed;;"4-5: das Ding läuft ""im Labor""";;Ann;;;Model to Model Transformation, code generation;;;;;;The functional part of the digital twin was out of focus of this project The generated DT cockpit is intended to use in combination with other services? which allow for predictive control,model the behavior of physical systems? and can in?uence the physical system;;;;;;MDE therefore aims at exploiting the ideas introduced in mechanical design theory, that a system realizes a function by transforming energy, material, and data;
21;Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
22;A framework for Model-Driven Engineering of resilient software-controlled systems;In [29], the definition, the role and the architectural aspects of digital twins in IIoT systems are elaborated.;SysML BDD, JARVIS, FT;structure;;;uni;SysML BDD;Knowlegde Base;;H  Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;Model to Model Transformation;;correct-by-construction strategy;;;;Software digital twins representations provide a key abstraction, providing an agile interface on hardware components, capturing operational behaviours of physical assets and processes, also providing refined and interpreted data, to enable diagnoses, predictive maintenance tasks, process plannings, process optimizations, virtual prototyping, and simulation.;;;;;;ollowing the proposed MDE approach, structural aspects of system configuration are preserved by construction guaranteeing that the meta-model complies to, and is isomorphic with, the structure of the specification artifact.;
23;Model-Driven Development of a Digital Twin for Injection Molding;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;MontiArc, MontiCore;structure;;;uni;MontiArc;Java;;C  Manufacturing;Operate, Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;The presented method relies on models describing the DTs situations (events) and reactions.;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Ann;;;code generation;;tagging;;;;The DT gathers relevant data and transmits commands to the machine to change to the machine configuration;;;;;;Model-driven engineering (MDE) bridges the gap between the production and software domain by using models that describe the DT at multiple levels of abstraction;
24;The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
25;A software engineering point of view on digital twin architecture;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
26;Process Prediction with Digital Twins;;;;;;;;;;;;;;;;;;Ann;;;;;;;;;;;;;;;;
