Publication Type;Authors;Author Full Names;Article Title;Source Title;Document Type;Conference Title;Conference Date;Conference Location;Keywords Plus;Abstract
J;"Yang, X; Ran, Y; Zhang, GB; Wang, HW; Mu, ZY; Zhi, SG";"Yang, Xin; Ran, Yan; Zhang, Genbao; Wang, Hongwei; Mu, Zongyi; Zhi, Shengguang";A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;Article;;;;;Precision performance prediction of transmission system is considered as a key technology to modern equipment health management. Given the importance of maintaining a transmission system's precision, this paper presents a hybrid approach framework driven by digital twin technology (DT), to predict performance degradation. Firstly, a DT model based on meta-action theory is established, and real-time monitoring and digital simulation, driven by DT data, is realized in order to analyze the precision of the transmission units in machine tools. Secondly, the wear of gear in transmission unit is studied through Achard wear theory, which considered the comprehensive influence of gear load and speed on surface wear of the gear pair tooth, based on the model driving method. The performance degradation of the transmission unit is obtained by using the RBF neural network algorithm based on the data-driven method to extrapolate the wear data to the field-measurable precision index value. In addition, the hybrid predictive approach of the performance degradation model through the particle filter algorithm is built, and the real-time data is used to update the current state estimation to improve the prediction accuracy. By combining the mechanism of the physical degradation processes with the real-time and historical data and turning them into a cooperative architecture, this prediction method uses the complementary advantages offered by the fusion of these methods to bridge the link between data-driven prediction and model-based prediction. Finally, the method has been successfully applied to the precision prediction of the transmission unit in CNCMT turntable, and it is compared with the single prediction method to verify the effectiveness and feasibility.
J;"He, L; Wen, K; Gong, J; Wu, CC";"He, Lei; Wen, Kai; Gong, Jing; Wu, Changchun";A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;ISA TRANSACTIONS;Article;;;;;This paper proposes a digital twin solution for unsteady flow state estimation in a pumping station. Digital twin is expected to accurately estimate the real-time hydraulic parameters of blind spots of the pumping station system even under some adverse conditions including the interference of observation noise and model parameters drift. To solve these challenges, a digital twin framework integrating the model-driven method, control theory and data-driven method is presented. In this framework, an unsteady flow state estimation method combining frequency domain analysis and generalized predictive control theory is developed for the first time, which is superior to traditional time-domain numerical discrete methods in terms of computational efficiency and anti-noise interference. In the model parameter calibration process, the novelty concerns modeling of the optimization problem considering the dynamic operation control of the station and unsteady flow of pipelines. And this process is accomplished through the comprehensive application of the model-free adaptive control algorithm, the transient flow model and the particle swarm optimization algorithm. This work is applied to a pumping station in a product pipeline to verify its effectiveness in estimating the transient flow state of data blind spots and map the dynamic operation behavior under the interference of colored noise and parameter drift. (C) 2021 ISA. Published by Elsevier Ltd. All rights reserved.
C;"Cimino, C; Leva, A; Ferretti, G";"Cimino, Chiara; Leva, Alberto; Ferretti, Gianni";Ensuring consistency in scalable-detail models for DT-based control;IFAC PAPERSONLINE;Proceedings Paper;17th IFAC Symposium on Information Control Problems in Manufacturing (INCOM);JUN 07-09, 2021;Budapest, HUNGARY;;Digital Twins (DTs for short) are a powerful aid for creating, assessing and maintaining control strategies. This use of DTs however requires that the physical entities to control be described at different levels of detail. For example, simple I/O models are used to compute parameters of modulating controllers, more time-accurate ones may be required to set up and assess logic controls, high-accuracy, possibly nonlinear ones may serve for overall strategy verification, and for software-in-the-loop testing, also the host computing/network architecture needs representing. In such a complex scenario, guaranteeing that all the descriptions of all elements are consistent with one another is a relevant problem. We discuss this matter and propose a solution, in the form of a modelling paradigm where as a novel contributions relationships (in a sense analogous to what the term means in database theory) can be instated and enforced. This allows to create and maintain knowledge based made of interrelate data and models, embracing all the major DT interpretations proposed so far in the literature, or said more explicitly, combining data-driven and model-driven DTs in a single framework. We also provide an illustrative example. Copyright (C) 2021 The Authors.
C;"Huang, YN; Dhouib, S; Malenfant, J";"Huang, Yining; Dhouib, Saadia; Malenfant, Jacques";An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;IECON 2021 - 47TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY;Proceedings Paper;47th Annual Conference of the IEEE-Industrial-Electronics-Society (IECON);OCT 13-16, 2021;ELECTR NETWORK;;The future intelligent manufacturing systems should possess a high degree of autonomy, which is able to monitor the entire production process, quickly re-plan operations, and respond to various unforeseen situations in a secure and safe manner. This can achieve rapid response to customers and avoid costly machine downtime, which is crucial to maintaining business success and profitability. The Asset Administration Shell (AAS) is an emerging standard in the 14.0 (Industry 4.0) domain. Based on the concept of digital twins, it provides concepts for describing the digital representation of 14.0 assets including their capabilities and skills. The AAS provides also responses to the challenge of syntactic and semantic interoperability that the flexible and autonomous production lines are facing. In this article, we propose a capability-based operation and engineering approach for flexible production lines. Our approach is relying on the AAS standard which is a very wide and rich specification. Consequently, we describe the subset of AAS modelling concepts necessary for our approach, we clarify their semantics and we show their usage through a production cell use case. Furthermore, we demonstrate how these modelling concepts were tooled as an extension of the open source model-driven workbench Papyrus.
C;"Huang, YN; Dhouib, S; Malenfant, J";"Huang, Yining; Dhouib, Saadia; Malenfant, Jacques";AAS Capability-Based Operation and Engineering of Flexible Production Lines;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);Proceedings Paper;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;;"Lot-size-one systems as well as plug and produce concepts imply (1) producing increased variety of products in a highly flexible and timely manner, and (2) making commissioning and maintenance more flexible. The speed with which manufacturers, in particular SMEs, can reconfigure the production to a new run and thus respond to clients and avoid costly machine downtime is critical to maintaining commercial success and profit margins. The manufacturing systems of tomorrow must offer a high degree of autonomy, be quickly re-planned to other operations, and cope with a wide variety of unforeseen situations, in a secure and safe manner. In this context, the Asset Administration Shell (AAS) is an emergent standard that leverages the digital twin approach and provides concepts for describing capabilities and skills of I4.0 components in order to automate the reconfiguration process. This article proposes a capability-based operation and engineering approach to tackle the syntactic and semantic interoperability problems in flexible production lines. We demonstrate the implementation of the AAS standard in the open source model-driven workbench Papyrus; then we assess its usability for modeling a production cell use case in order to implement a capability-based reconfiguration approach for flexible production lines."
C;"Gorelova, A; Melia, S";"Gorelova, Anastasiia; Melia, Santiago";Applying a Healthcare Web of Things Framework for Infertility Treatments;WEB ENGINEERING (ICWE 2022);Proceedings Paper;22nd International Conference on Web Engineering (ICWE);JUL 05-08, 2022;Bari, ITALY;;According to doctors and researchers, fertility problems are becoming epidemic proportions. Meanwhile, the demand for infertility treatment is increasing by 5-10% per year. To support the growing demand, physicians need to define personalized remote monitoring treatments supported by devices that send real-time information on hormones levels, heart-rate, temperature, etc. To this end, Healthcare Monitoring Systems (HMS) have recently appeared, based on increasingly advanced devices that help to manage this task. However, current solutions are expensive and not very customizable by physicians themselves. In this paper, we propose a framework called MoSTHealth, based on digital twins and Model-Driven Engineering (MDE), allows healthcare experts to model a personalized Web of Things (WoT) HMS scenario per treatment and per patient. Thanks to MDE, the simulated scenario allows us to generate a Service-Oriented enterprise cloud architecture that integrates a prediction module based on machine learning and data analysis. In this paper, a WoT HMS scenario for infertility treatment is presented as a case study. In this scenario, a specific care plan is defined, associated with a set of devices, including the use of a biosensing device that sends hormones levels in real-time.
J;"Song, YG; Xia, MC; Chen, QF; Chen, FJ";"Song, Yuguang; Xia, Mingchao; Chen, Qifang; Chen, Fangjian";A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;APPLIED ENERGY;Article;;;;;With the growing percentage of the intermittent renewable power generation, the energy system is under increasing pressure in balancing the supply and the demand. As a major part of urban energy consumptions, buildings can provide considerable regulation flexibility for the energy system by actively managing their energy demands. For the building energy flexibility (BEF) provided by thermostatically controlled loads (TCL), its dispatch performance is vulnerable to the building thermal parameter errors, and in some cases, occupants need to provide the critical information related to the indoor temperature state and the occupancy state to the energy management system outside buildings, which decreases the availability of the BEF and raises privacy concerns. For these issues in the BEF utilization, this paper proposes a data-model fusion dispatch strategy based on the digital twin (DT). The proposed strategy is capable of parameter fault tolerance and privacy protection by combining the model-free advantage of the data-driven method with the analytical optimization advantage of the model-driven method. Firstly, a DT-based BEF dispatch framework is proposed. Secondly, the building DT is established by combining the building thermal dynamics (BTD) data-driven model and the TCL operation mechanism model. And the building response deduction is carried out based on the DT. Finally, under the rolling optimization framework, the data-model fusion dispatch strategy is devised by uniting the DT deduction and the optimization constructed by the BTD mechanism model, in which the multi-dimensional modeling of the BTD is carried out from the state dimension and the energy dimension. The simulation results show that the optimization result can reach 98.4% of the ideal result under the scenario with 15% parameter random error, and 98.3% of the ideal result under the scenario with 15% random state noise injection.
C;"Zhou, MK; Feng, DH";"Zhou, Mike; Feng, DongHao";A New Modeling Approach for Power Grid Online Analysis;IFAC PAPERSONLINE;Proceedings Paper;21st IFAC World Congress on Automatic Control - Meeting Societal Challenges;JUL 11-17, 2020;ELECTR NETWORK;;A new modeling approach for power grid online analysis is proposed to support the realization of a new online analysis system architecture. The model-driven software development, automatic code generation, and in-memory computing techniques are employed in the modeling approach. Data source adapters are developed for the integration of the model with the existing EMS system. A large-scale power grid online network data model (similar to 40K-bus) is used for the model performance testing in a Lab environment. The proposed modeling approach was used to develop a new online analysis application, which was deployed and running in a provincial grid dispatching control center. The Lab and field performance measurement shows that the modeling approach-based application can achieve second-order end-to-end responsiveness. Copyright (C) 2020 The Authors.
J;"Karagiannis, D; Buchmann, RA; Utz, W";"Karagiannis, Dimitris; Buchmann, Robert Andrei; Utz, Wilfrid";The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;COMPUTERS IN INDUSTRY;Article;;;;;OMiLAB is a community of practice which offers a digital ecosystem bringing together open technologies to investigate and apply conceptual modeling methods for varying purposes and domains. One of the core value propositions is a dedicated Digital Innovation environment comprising several toolkits and workspaces, designed to support Product-Service Systems (PSS) prototyping - a key ingredient for PSS lifecycle management. At the core of this environment is a notion of Agile Digital Twin - a conceptual representation that can be tailored with knowledge engineering means to bridge the semantic and functional gap between a business perspective (focusing on value creation) and an engineering perspective (focusing on cyber-physical proofs-of-concept). To facilitate this bridging, the hereby proposed environment orchestrates, across three abstraction layers, methods such as Design Thinking, Agile Modeling Method Engineering and Model-driven Engineering to turn Ideation into smart Product-Service Systems experiments, in a laboratory setting. The proposed environment was built following Design Science principles. It addresses the problem of historically-disconnected skills required for Digital Innovation projects and it provides a testbed for feasibility experimentation. For design-oriented, artifact building research, a higher Technology Readiness Level can thus be achieved (compared to the level that idea development methods typically attain).(c) 2022 Elsevier B.V. All rights reserved.
C;"Hatzivasilis, G; Ioannidis, S; Smyrlis, M; Spanoudakis, G; Frati, F; Braghin, C; Damiani, E; Koshutanski, H; Tsakirakis, G; Hildebrandt, T; Goeke, L; Pape, S; Blinder, O; Vinov, M; Leftheriotis, G; Kunc, M; Oikonomou, F; Magilo, G; Petrarolo, V; Chieti, A; Bordianu, R";"Hatzivasilis, George; Ioannidis, Sotiris; Smyrlis, Michail; Spanoudakis, George; Frati, Fulvio; Braghin, Chiara; Damiani, Ernesto; Koshutanski, Hristo; Tsakirakis, George; Hildebrandt, Torsten; Goeke, Ludger; Pape, Sebastian; Blinder, Oleg; Vinov, Michael; Leftheriotis, George; Kunc, Martin; Oikonomou, Fotis; Magilo, Giovanni; Petrarolo, Vito; Chieti, Antonio; Bordianu, Robert";The THREAT-ARREST Cyber Range Platform;PROCEEDINGS OF THE 2021 IEEE INTERNATIONAL CONFERENCE ON CYBER SECURITY AND RESILIENCE (IEEE CSR);Proceedings Paper;IEEE International Conference on Cyber Security and Resilience (IEEE CSR);JUL 26-28, 2021;ELECTR NETWORK;;Emerging technologies are facilitating our daily activities and drive the digital transformation. The Internet of Things (IoT) and 5G communications will provide a wide range of new applications and business opportunities, but with a wide and quite complex attack surface. Several users are not aware of the underlying threats and most of them do not possess the knowledge to set and operate the various digital assets securely. Therefore, cyber security training is becoming mandatory both for simple users and security experts. Cyber ranges constitute an advance training technique where trainees gain hands-on experiences on a safe virtual environment, which can be a realistic digital twin of an actual system. This paper presents the cyber ranges platform THREAT-ARREST. Its design is fully model-driven and offers all modern training features (i.e. emulation, simulation, serious games, and fabricated data). The platform has been evaluated under the smart energy, intelligent transportation, and healthcare domains.
J;"Perisic, A; Perisic, I; Perisic, B";"Perisic, Ana; Perisic, Ines; Perisic, Branko";Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;SUSTAINABILITY;Article;;;;;We discuss the collaboration support of loosely coupled Smart Systems through configurable hyper-frameworks. Based on the system-of-systems (SoS) paradigm, in this article, we propose the model of a novel extendible conceptual framework with domain-specific moderation support for model-based simulations and the engineering of complex heterogeneous systems. The domain knowledge meta-model and corresponding management enterprise architecture enable the creation of template-based specializations. The proposed SoS conceptual framework meta-model represents an initial framework prototype that supports modeling, simulation, analysis, and utilization of dynamic architecting of heterogeneous SoS configurations. A Smart-Habitat concept encapsulating Smart-Area, Smart-City, Smart-Lot, Smart-Building, and Smart-Unit abstractions illustrate the frameworks' applicability. The proposed SoS conceptual framework represents the initial conceptual support for modeling, simulation, analysis, and dynamic architecting of heterogeneous SoS configurations. We plan to refine the component architecture meta-model, specify a language workbench with Domain-Specific Orchestration Language support, and verify the configuration-based simulation manifest creation. These actions lead to the framework's next stage, an operational framework (OF) instance, as a transitional artifact to the aimed software framework (SwF) counterpart.
C;"Oakes, BJ; Parsai, A; Van Mierlo, S; Demeyer, S; Denil, J; De Meulenaere, P; Vangheluwe, H";"Oakes, Bentley James; Parsai, Ali; Van Mierlo, Simon; Demeyer, Serge; Denil, Joachim; De Meulenaere, Paul; Vangheluwe, Hans";Improving Digital Twin Experience Reports;PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING AND SOFTWARE DEVELOPMENT (MODELSWARD);Proceedings Paper;9th International Conference on Model-Driven Engineering and Software Development (MODELSWARD);FEB 08-10, 2021;ELECTR NETWORK;;Digital twins (DTs) are prevalent throughout industrial domains as evidenced by the rapid pace of experience reports in the literature. However, there remains disagreement about the precise definition of a DT and the essential characteristics in the DT paradigm, such as the scope of the system-under-study and the time-scale of its communication with the DT. These experience reports could therefore be hampering further classification and research insights by not reporting all of these relevant details about the DT solutions. We address these concerns by providing a conceptual structure for DTs as a common understanding and checklist for researchers and practitioners to precisely describe the characteristics and capabilities of their DT solutions. We express five experience reports using our structure to demonstrate its applicability and role as a guideline to improve the reporting of characteristics and increase the clarity of future experience reports.
C;"David, I; Galasso, J; Syriani, E";"David, Istvan; Galasso, Jessie; Syriani, Eugene";Inference of Simulation Models in Digital Twins by Reinforcement Learning;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;"The typical optimization and control activities of Digital Twins are driven by high-performance simulators. Due to the significant complexity of systems subject to digital twinning, constructing simulators of appropriate details is a costly and error-prone endeavor. To alleviate these problems, we propose an approach for inferring simulation models of Digital Twins by machine learning. Instead of learning the simulation model of one specific simulator, we aim at learning their construction process. This generality enables reusing the inferred knowledge in different (but congruent) Digital Twin settings. To achieve this level of generality, we propose the Discrete Event System Specification (DEVS) formalism for capturing simulation models; and reinforcement learning (RL) for inferring DEVS models. In this paper, we explore the opportunities and challenges in combining these two techniques."
J;"Du, XF; Zhu, QM; Ding, GR; Li, J; Wu, QH; Lan, TX; Lin, ZP; Zhong, WZ; Han, L";"Du, Xiaofu; Zhu, Qiuming; Ding, Guoru; Li, Jie; Wu, Qihui; Lan, Tianxu; Lin, Zhipeng; Zhong, Weizhi; Han, Lu";UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;SYMMETRY-BASEL;Article;;;;;As the number of civil aerial vehicles increase explosively, spectrum scarcity and security become an increasingly challenge in both the airspace and terrestrial space. To address this difficulty, this paper presents an unmanned aerial vehicle-assisted (UAV-assisted) spectrum mapping system and a spectrum data reconstruction algorithm driven by spectrum data and channel model are proposed. The reconstruction algorithm, which includes a model-driven spectrum data inference method and a spectrum data completion method with uniformity decision mechanism, can reconstruct limited and incomplete spectrum data to a three-dimensional (3D) spectrum map. As a result, spectrum scarcity and security can be achieved. Spectrum mapping is a symmetry-based digital twin technology. By employing an uniformity decision mechanism, the proposed completion method can effectively interpolate spatial data even when the collected data are unevenly distributed. The effectiveness of the proposed mapping scheme is evaluated by comparing its results with the ray-tracing simulated data of the campus scenario. Simulation results show that the proposed reconstruction algorithm outperforms the classical inverse distance weighted (IDW) interpolation method and the tensor completion method by about 12.5% and 92.3%, respectively, in terms of reconstruction accuracy when the collected spectrum data are regularly missing, unevenly distributed and limited.
C;"Munoz, P; Troya, J; Vallecillo, A";"Munoz, Paula; Troya, Javier; Vallecillo, Antonio";Using UML and OCL Models to Realize High-Level Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;Digital twins constitute virtual representations of physically existing systems. However, their inherent complexity makes them difficult to develop and prove correct. In this paper we explore the use of UML and OCL, complemented with an executable language, SOIL, to build and test digital twins at a high level of abstraction. We also show how to realize the bidirectional connection between the UML models of the digital twin in the USE tool with the physical twin, using an architectural framework centered on a data lake. We have built a prototype of the framework to demonstrate our ideas, and validated it by developing a digital twin of a Lego Mindstorms car. The results allow us to show some interesting advantages of using high-level UML models to specify virtual twins, such as simulation, property checking and some other types of tests.
J;"Zhao, C; Dai, XY; Lv, YS; Niu, JL; Lin, YL";"Zhao, Chen; Dai, Xingyuan; Lv, Yisheng; Niu, Jinglong; Lin, Yilun";Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;Article;;;;;Human and social factors are essential to transportation systems, yet top-down management fails to consider them sufficiently. Consequently, management strategies are not tailored to human needs and are inadequate in providing transportation intelligence. This article investigates a management architecture based on decentralized/distributed autonomous operations/organizations (DAOs) that considers both the technical and societal aspects in our transportation metaverse, TransVerse. This design maps people's transportation needs in physical space to their digital counterparts in cyberspace, utilizing blockchain technology to guarantee the secure exchange of information and ultimately bring about the Internet of Minds (IoM). With the federated intelligence that emerged in IoM, we can devise reliable and prompt traffic decisions by incorporating consensus, community voting, and smart contracts into the organizational, coordination, and execution structure. Details on operational procedures and key technologies are also covered. To demonstrate the efficacy of DAOs-based management, a case study of world model-driven cooperative signal control is provided, indicating its promising application in future transportation management.
J;"Luo, RP; Sheng, BY; Fu, GC; Huang, YZ; Jian, YC; Chen, G";"Luo, Ruiping; Sheng, Buyun; Fu, Gaocai; Huang, Yuzhe; Jian, Yuchao; Chen, Geng";A virtual model knowledge updating method driven by data;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;"Article; Early Access";;;;;In the initial construction of unit-level virtual models in the discrete production system, the understanding of physical entities and the actual operating environment is lacking, and the virtual models need to be iteratively updated to resemble the physical entities more closely. To solve the above problems, an updating method for knowledge in the virtual model driven by data is studied. Firstly, the behavior model in the virtual model can be divided into basic functional models such as forward kinematics, trajectory planning, and material generation, and the knowledge components to support functional model computation are constructed. Secondly, the evaluation indexes for the quality, maintainability, and reliability of the knowledge components are established, and appropriate knowledge component combinations can be selected from the knowledge component base. Then, based on the measurements, it is used to the triggering judgment, and a knowledge component combination with the smallest difference between the simulation output of the virtual model and the real data of physical entities is selected from multiple combinations to realize the iterative update of the model. Finally, the feasibility and effectiveness of the method are verified by examples.
C;"Feng, H; Gomes, C; Sandberg, M; Thule, C; Lausdahl, K; Larsen, PG";"Feng, Hao; Gomes, Claudio; Sandberg, Michael; Thule, Casper; Lausdahl, Kenneth; Larsen, Peter Gorm";Developing a Physical and Digital Twin: An Example Process Model;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;As a result of the fast development of technologies and diversity of requirements, complexity exists not only in a system itself but also in the development process and environment. The complexity in the development process comes from specialization and concurrency, and a Digital Twin (DT) has the potential to mitigate these issues. We hope, during the process of building a DT, the accidental complexity can be minimized by application of model-based systems engineering and the Multi-Paradigm Modeling (MPM). In this paper, we give an example of the process of building a DT combined with a process model. Our long term goal is to model the development of various DTs to identify the commonalities and variations across multiple DTs.
J;"Gutierrez-Franco, E; Mejia-Argueta, C; Rabelo, L";"Gutierrez-Franco, Edgar; Mejia-Argueta, Christopher; Rabelo, Luis";Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;SUSTAINABILITY;Article;;;;;Last-mile operations in forward and reverse logistics are responsible for a large part of the costs, emissions, and times in supply chains. These operations have increased due to the growth of electronic commerce and direct-to-consumer strategies. We propose a novel data- and model-driven framework to support decision making for urban distribution. The methodology is composed of diverse, hybrid, and complementary techniques integrated by a decision support system. This approach focuses on key elements of megacities such as socio-demographic diversity, portfolio mix, logistics fragmentation, high congestion factors, and dense commercial areas. The methodological framework will allow decision makers to create early warning systems and, with the implementation of optimization, machine learning, and simulation models together, make the best utilization of resources. The advantages of the system include flexibility in decision making, social welfare, increased productivity, and reductions in cost and environmental impacts. A real-world illustrative example is presented under conditions in one of the most congested cities: the megacity of Bogota, Colombia. Data come from a retail organization operating in the city. A network of stakeholders is analyzed to understand the complex urban distribution. The execution of the methodology was capable of solving a complex problem reducing the number of vehicles utilized, increasing the resource capacity utilization, and reducing the cost of operations of the fleet, meeting all constraints. These constraints included the window of operations and accomplishing the total number of deliveries. Furthermore, the methodology could accomplish the learning function using deep reinforcement learning in reasonable computational times. This preliminary analysis shows the potential benefits, especially in understudied metropolitan areas from emerging markets, supporting a more effective delivery process, and encouraging proactive, dynamic decision making during the execution stage.
C;"van den Brand, M; Cleophas, L; Gunasekaran, R; Haverkort, B; Negrin, DAM; Muctadir, HM";"van den Brand, Mark; Cleophas, Loek; Gunasekaran, Raghavendran; Haverkort, Boudewijn; Negrin, David A. Manrique; Muctadir, Hossain Muhammad";Models Meet Data: Challenges to Create Virtual Entities for Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;In recent years, digital twin (DT) technology has moved to the center of attention of many researchers and engineers. Commonly, a digital twin is defined based on a virtual entity (VE) that exhibits similar behavior to its physical counterpart, and that is coupled to this physical entity (PE). The VE thus forms a core part of any digital twin. While VEs may differ vastly-from ones based on simple simulation to high-fidelity virtual mirroring of the corresponding PE-they are typically composed of multiple models that may originate from multiple domains, address different aspects, and are expressed and processed using different tools and languages. Furthermore, the use of time series data-whether historical or real-time or both-from the PE distinguishes VEs from mere simulations. As a consequence of the modeling landscape complexity and the data aspect of VEs, the design of a digital twin and specifically of the VE as part of it represents several challenges. In this paper, we present our vision for the development, evolution, maintenance, and verification of such virtual entities for digital twins.
C;"Bonney, MS; de Angelis, M; Wagg, D; Dal Borgo, M";"Bonney, Matthew S.; de Angelis, Marco; Wagg, David; Dal Borgo, Mattia";Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;This paper demonstrates an example of an open-source, modular, and system independent framework that has been developed by a team of researchers working for the UK based DigiTwin project. The example in this paper is based on a framework for a digital twin operational platform (DTOP) that uses Flask Python, and is named DTOP-Cristallo. DTOP-Cristallo is an operational platform that uses HTML web pages as the interface between the digital twin simulations, both python based and 3rd party software based, and the user. This framework is particularly useful for connectivity with users, since it can deploy the digital twin with multiple accessibility options to accommodate a wide variety of intended uses.
C;"Negrin, DAM; Cleophas, L; van den Brand, M";"Negrin, David A. Manrique; Cleophas, Loek; van den Brand, Mark";Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;The concept of Digital Twin (DT) is increasingly getting attention due to its support for digital transformation as part of Industry 4.0. A core component of a DT is the virtual entity (VE) that is meant to 'mirror' the physical entity (PE). A particular challenge for developing this VE is the integration between the different models that typically make up such a VE. These models, covering different disciplines or aspects of a system, commonly are developed by different engineers and expressed in different formalisms given their strengths and weaknesses. This makes integration between these models and formalisms a challenge. Such integration has two aspects: the communication among the models, and their orchestration, which concerns the order of model step execution and data exchange. In this paper, we consider the suitability of Ptolemy II, an open source framework based on an actor-oriented structure, to implement such integration. We use the Ptolemy II framework to reproduce the implementation of a DT of an autonomous scaled-down truck, which originally required a more manual configuration and execution and was developed in a monolithic way. The results show that Ptolemy II can be used to implement different communication technologies as actors, and show the expressiveness of the orchestrators by reproducing the existing DT's behavior. This shows Ptolemy II in principle to be suitable as an integration and orchestration tool for models in the context of DTs. As future work, we plan to apply the framework to more complex DTs using different communication technologies, so as to validate its broader suitability for VE orchestration in DTs.
C;"Palomes, XPI; Tuset-Peiro, P; Casas, PFI";"Pi i Palomes, Xavier; Tuset-Peiro, Pere; Fonseca i Casas, Pau";Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;One of the main challenges to implement Industry 4.0 technologies within the industrial fabric is the lack of suitable concrete models and tools that demonstrate the potential benefits of embracing the digital transformation process. To overcome this challenge, over the past years, various Industry 4.0 automation and robotics providers have presented solutions based on visual block programming languages, which follow an emerging low-code approach to reduce the entry barriers of digital technologies. However, block-based low-code tools typically lack the formality introduced by specification languages, limiting their ability to model the industrial processes formally. Taking this into account, in this article, we present the combination of specification languages and visual block programming languages to enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers. In particular, we combine SDL and Snap! to create SDL4Snap!, an opensource and web-based tool that facilitates the implementation and validation of Digital Twin prototypes. Overall, the resulting tool has the potential to reduce the entry barrier to Digital Twins in small and medium enterprises, which are part of the late majority and laggard groups regarding the adoption of digital technologies in the context of Industry 4.0.
