Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Castelli, G; Cesta, A; Diez, M; Padula, M; Ravazzani, P; Rinaldi, G; Savazzi, S; Spagnuolo, M; Strambini, L; Tognola, G; Campana, EF";;;IEEE;"Castelli, Giordana; Cesta, Amedeo; Diez, Matteo; Padula, Marco; Ravazzani, Paolo; Rinaldi, Giovanni; Savazzi, Stefano; Spagnuolo, Michela; Strambini, Lucanos; Tognola, Gabriella; Campana, Emilio Fortunato";;;Urban Intelligence: a Modular, Fully Integrated, and Evolving Model for Cities Digital Twinning;2019 IEEE 16TH INTERNATIONAL CONFERENCE ON SMART CITIES: IMPROVING QUALITY OF LIFE USING ICT, IOT AND AI (IEEE HONET-ICT 2019);;;;;IEEE 16th International Conference on Smart Cities - Improving Quality of Life Using ICT and IoT and AI (HONET-ICT);OCT 06-09, 2019;UNC Charlotte, Charlotte, NC;IEEE,IEEE USA,NUST,IEEE Charlotte Sect;UNC Charlotte;;;;;;;;"Spagnuolo, Michela/ABA-1927-2021; Cesta, Amedeo/AAX-5441-2021; Tognola, Gabriella/GNH-3487-2022; Savazzi, Stefano/C-2368-2015; Cesta, Amedeo/ABD-3638-2020; Tognola, Gabriella/AAW-5316-2020; padula, marco/AAY-5096-2020; Diez, Matteo/B-7090-2015";"Spagnuolo, Michela/0000-0002-5682-6990; Tognola, Gabriella/0000-0002-2433-449X; Savazzi, Stefano/0000-0002-9865-6512; Cesta, Amedeo/0000-0002-0703-9122; padula, marco/0000-0002-5671-3451; Diez, Matteo/0000-0001-6113-7893";;;;;;;;;;;;;;;978-1-7281-3971-5;;;;2019;;;;;;;33;37;;;;;;;;;;;;;;;;WOS:000533584000002;View Full Record in Web of Science
C;"Rjabtsikov, V; Rassolkin, A; Asad, B; Vaimann, T; Kallaste, A; Kuts, V; Jegorov, S; Stepien, M; Krawczyk, M";;;IEEE;"Rjabtsikov, Viktor; Rassolkin, Anton; Asad, Bilal; Vaimann, Toomas; Kallaste, Ants; Kuts, Vladimir; Jegorov, Sergei; Stepien, Mariusz; Krawczyk, Mateusz";;;Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;2021 28TH INTERNATIONAL WORKSHOP ON ELECTRIC DRIVES: IMPROVING RELIABILITY OF ELECTRIC DRIVES (IWED2021);;;;;28th International Workshop on Electric Drives: Improving Reliability of Electric Drives (IWED);JAN 27-29, 2021;Moscow Power Engn Inst, Moscow, RUSSIA;IEEE,IEEE Ind Applicat Soc,IES,IEEE Power Elect Soc;Moscow Power Engn Inst;;;;;;;;"Rjabt?ikov, Viktor/ACH-9186-2022; Rassälkin, Anton/A-1710-2016; Stepien, Mariusz Adam/B-7080-2014; Vaimann, Toomas/E-8508-2016; Kuts, Vladimir/AAA-9520-2022";"Rjabt?ikov, Viktor/0000-0003-0012-353X; Rassälkin, Anton/0000-0001-8035-3970; Stepien, Mariusz Adam/0000-0002-4279-0472; Vaimann, Toomas/0000-0003-0481-5066; Kuts, Vladimir/0000-0002-8134-8636";;;;;;;;;;;;;;;978-1-6654-1456-2;;;;2021;;;;;;;;;;10.1109/IWED52055.2021.9376328;http://dx.doi.org/10.1109/IWED52055.2021.9376328;;;;;;;;;;;;;WOS:000670886600004;View Full Record in Web of Science
C;"David, I; Galasso, J; Syriani, E";;;IEEE COMP SOC;"David, Istvan; Galasso, Jessie; Syriani, Eugene";;;Inference of Simulation Models in Digital Twins by Reinforcement Learning;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;Galasso-Carbonnel, Jessie/0000-0002-9868-1814;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;223;226;;10.1109/MODELS-C53483.2021.00038;http://dx.doi.org/10.1109/MODELS-C53483.2021.00038;;;;;;;;;;;;;WOS:000749362300032;View Full Record in Web of Science
C;"Munoz, P; Troya, J; Vallecillo, A";;;IEEE COMP SOC;"Munoz, Paula; Troya, Javier; Vallecillo, Antonio";;;Using UML and OCL Models to Realize High-Level Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;Vallecillo, Antonio/B-1884-2014;"Vallecillo, Antonio/0000-0002-8139-9986; Munoz Ariza, Paula/0000-0003-2939-5803";;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;214;222;;10.1109/MODELS-C53483.2021.00037;http://dx.doi.org/10.1109/MODELS-C53483.2021.00037;;;;;;;;;;;;;WOS:000749362300031;View Full Record in Web of Science
C;"van den Brand, M; Cleophas, L; Gunasekaran, R; Haverkort, B; Negrin, DAM; Muctadir, HM";;;IEEE COMP SOC;"van den Brand, Mark; Cleophas, Loek; Gunasekaran, Raghavendran; Haverkort, Boudewijn; Negrin, David A. Manrique; Muctadir, Hossain Muhammad";;;Models Meet Data: Challenges to Create Virtual Entities for Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;Muctadir, Hossain Muhammad/IXN-3573-2023;Muctadir, Hossain Muhammad/0000-0002-2090-4766;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;227;230;;10.1109/MODELS-C53483.2021.00039;http://dx.doi.org/10.1109/MODELS-C53483.2021.00039;;;;;;;;;;;;;WOS:000749362300033;View Full Record in Web of Science
C;"Bonney, MS; de Angelis, M; Wagg, D; Dal Borgo, M";;;IEEE COMP SOC;"Bonney, Matthew S.; de Angelis, Marco; Wagg, David; Dal Borgo, Mattia";;;Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;"Wagg, David/0000-0002-7266-2105; de Angelis, Marco/0000-0001-8851-023X; Dal Borgo, Mattia/0000-0003-4263-0513";;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;239;243;;10.1109/MODELS-C53483.2021.00042;http://dx.doi.org/10.1109/MODELS-C53483.2021.00042;;;;;;;;;;;;;WOS:000749362300036;View Full Record in Web of Science
C;"Oakes, BJ; Parsai, A; Van Mierlo, S; Demeyer, S; Denil, J; De Meulenaere, P; Vangheluwe, H";;"Hammoudi, S; Pires, LF; Seidewitz, E; Soley, R";;"Oakes, Bentley James; Parsai, Ali; Van Mierlo, Simon; Demeyer, Serge; Denil, Joachim; De Meulenaere, Paul; Vangheluwe, Hans";;;Improving Digital Twin Experience Reports;PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING AND SOFTWARE DEVELOPMENT (MODELSWARD);;;;;9th International Conference on Model-Driven Engineering and Software Development (MODELSWARD);FEB 08-10, 2021;ELECTR NETWORK;;;;;;;;;;"Vangheluwe, Hans/H-9884-2016; Parsai, Ali/T-1379-2018; Oakes, Bentley/AAS-2811-2020; De+Meulenaere, Paul/AAZ-8903-2021";"Vangheluwe, Hans/0000-0003-2079-6643; Parsai, Ali/0000-0001-8525-8198; Oakes, Bentley/0000-0001-7558-1434; De Meulenaere, Paul/0000-0002-3706-6164";;;;;;;;;;;;;;;978-989-758-487-9;;;;2021;;;;;;;179;190;;10.5220/0010236101790190;http://dx.doi.org/10.5220/0010236101790190;;;;;;;;;;;;;WOS:000662840600016;View Full Record in Web of Science
C;"Feng, H; Gomes, C; Sandberg, M; Thule, C; Lausdahl, K; Larsen, PG";;;IEEE COMP SOC;"Feng, Hao; Gomes, Claudio; Sandberg, Michael; Thule, Casper; Lausdahl, Kenneth; Larsen, Peter Gorm";;;Developing a Physical and Digital Twin: An Example Process Model;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;288;296;;10.1109/MODELS-C53483.2021.00050;http://dx.doi.org/10.1109/MODELS-C53483.2021.00050;;;;;;;;;;;;;WOS:000749362300044;View Full Record in Web of Science
J;"Gutierrez-Franco, E; Mejia-Argueta, C; Rabelo, L";;;;"Gutierrez-Franco, Edgar; Mejia-Argueta, Christopher; Rabelo, Luis";;;Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;SUSTAINABILITY;;;;;;;;;;;;;;;;;;"Mejia Argueta, Christopher/0000-0002-4601-2459; Gutierrez-Franco, Edgar/0000-0002-8128-5356";;;;;;;;;;;;;;2071-1050;;;;JUN;2021;13;11;;;;;;;6230;10.3390/su13116230;http://dx.doi.org/10.3390/su13116230;;;;;;;;;;;;;WOS:000660763000001;View Full Record in Web of Science
C;"Gorodetsky, VI; Kozhevnikov, SS; Novichkov, D; Skobelev, PO";;"Marik, V; Kadera, P; Rzevski, G; Zoitl, A; AnderstKotsis, G; Tjoa, AM; Khalil, I";;"Gorodetsky, V., I; Kozhevnikov, S. S.; Novichkov, D.; Skobelev, P. O.";;;The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;INDUSTRIAL APPLICATIONS OF HOLONIC AND MULTI-AGENT SYSTEMS (HOLOMAS 2019);Lecture Notes in Artificial Intelligence;;;;9th International Conference on Industrial Applications of Holonic and Multi-Agent Systems (HoloMAS);AUG 26-29, 2019;Linz, AUSTRIA;Software Competence Ctr Hagenberg,JKU,@WAS;;;;;;;;;;Novichkov, Dmitriy/0000-0002-4635-8177;;;;;;;;;;;;;0302-9743;1611-3349;"978-3-030-27878-6; 978-3-030-27877-9";;;;2019;11710;;;;;;52;64;;10.1007/978-3-030-27878-6_5;http://dx.doi.org/10.1007/978-3-030-27878-6_5;;;;;;;;;;;;;WOS:000611680100005;View Full Record in Web of Science
C;"Negrin, DAM; Cleophas, L; van den Brand, M";;;IEEE COMP SOC;"Negrin, David A. Manrique; Cleophas, Loek; van den Brand, Mark";;;Using Ptolemy II as a Framework for Virtual Entity Integration and Orchestration in Digital Twins;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;235;238;;10.1109/MODELS-C53483.2021.00041;http://dx.doi.org/10.1109/MODELS-C53483.2021.00041;;;;;;;;;;;;;WOS:000749362300035;View Full Record in Web of Science
C;"Palomes, XPI; Tuset-Peiro, P; Casas, PFI";;;IEEE COMP SOC;"Pi i Palomes, Xavier; Tuset-Peiro, Pere; Fonseca i Casas, Pau";;;Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;;;;;;;;;;;;;;;;;978-1-6654-2484-4;;;;2021;;;;;;;742;751;;10.1109/MODELS-C53483.2021.00120;http://dx.doi.org/10.1109/MODELS-C53483.2021.00120;;;;;;;;;;;;;WOS:000749362300113;View Full Record in Web of Science
J;"Gkeli, M; Potsiou, C";;;;"Gkeli, Maria; Potsiou, Chryssy";;;3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;LAND USE POLICY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0264-8377;1873-5754;;;;AUG;2023;131;;;;;;;;106713;10.1016/j.landusepol.2023.106713;http://dx.doi.org/10.1016/j.landusepol.2023.106713;;MAY 2023;;;;;;;;;;;WOS:000998924500001;View Full Record in Web of Science
C;"Lyan, G; Jezequel, JM; Gross-Amblard, D; Combemale, B";;;IEEE Comp Soc;"Lyan, Gauthier; Jezequel, Jean-Marc; Gross-Amblard, David; Combemale, Benoit";;;DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;24TH INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS (MODELS 2021);;;;;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;IEEE,Assoc Comp Machinery,ACM SIGSOFT,IEEE Comp Soc,IEEE Tech Council Software Engn;;;;;;;;;Jezequel, Jean-Marc/AAF-3854-2019;"Jezequel, Jean-Marc/0000-0002-0582-9745; LYAN, Gauthier/0000-0003-4711-6636";;;;;;;;;;;;;;;978-1-6654-3495-9;;;;2021;;;;;;;134;144;;10.1109/MODELS50736.2021.00022;http://dx.doi.org/10.1109/MODELS50736.2021.00022;;;;;;;;;;;;;WOS:000747591300013;View Full Record in Web of Science
J;"Perisic, A; Perisic, I; Perisic, B";;;;"Perisic, Ana; Perisic, Ines; Perisic, Branko";;;Simulation-Based Engineering of Heterogeneous Collaborative Systems-A Novel Conceptual Framework;SUSTAINABILITY;;;;;;;;;;;;;;;;;Perisic, Ana/AAF-4925-2021;"Perisic, Ana/0000-0002-9093-9462; Perisic, Branko/0000-0003-2624-2895";;;;;;;;;;;;;;2071-1050;;;;MAY 30;2023;15;11;;;;;;;8804;10.3390/su15118804;http://dx.doi.org/10.3390/su15118804;;;;;;;;;;;;;WOS:001004669600001;View Full Record in Web of Science
C;"Chen, XM; Kang, E; Shiraishi, S; Preciado, VM; Jiang, ZH";;;ACM;"Chen, Ximing; Kang, Eunsuk; Shiraishi, Shinichi; Preciado, Victor M.; Jiang, Zhihao";;;Digital Behavioral Twins for Safe Connected Cars;21ST ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS (MODELS 2018);;;;;21st ACM/IEEE International Conference on Model Driven Engineering Languages and Systems (MODELS);OCT 14-19, 2018;Copenhagen, DENMARK;IEEE,ACM,JetBrains,MPS,Eclipse Fdn,Papyrus Ind Consortium,HCL,ACM Special Interest Grp Software Engn,IEEE Comp Soc,IT Univ Copenhagen;;;;;;;;;;Jiang, Zhihao/0000-0002-6730-6915;;;;;;;;;;;;;;;978-1-4503-4949-9;;;;2018;;;;;;;144;153;;10.1145/3239372.3239401;http://dx.doi.org/10.1145/3239372.3239401;;;;;;;;;;;;;WOS:000508877300014;View Full Record in Web of Science
