;Document Title;Authors;Publication Title;Publication Year;Abstract;Publisher;Document Identifier
61;Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;Niati A,Selma C,Tamzalit D,Bruneliere H,Mebarki N,Cardin O;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2020.0;This paper presents our early-stage research on a Multi-Paradigm Modeling (MPM) approach as an initial step towards the definition of a Digital Twin (DT) for Cyber-Physical Production Systems (CPPSs). This work takes place in the context of the digitalization of the mail sorting process at La Poste, the French national postal service company. Indeed, La Poste is currently investing on robotics modules for automatically loading mail containers. The main objective is to reduce the painful work for human operators while optimizing the robots usage. We already worked on targeting such a balance in a past effort that resulted in the production of different kinds of models of the La Poste CPPS. However, these models were defined separately and are not directly related to the underlying business process in particular. Thus, we propose an MPM approach starting from this business process as now modeled explicitly in a BPMN model. Then, we refine the high-level business activities into finer-grained activities represented in a UML Activity model. From these latest, we derive the specification of a Multi-Agent System (MAS) developed with the JADE framework and emulating the behavior of the La Poste CPPS. Our longer term objective is to pave the way for supporting the definition of a DT for this CPPS, and potentially for other CPPSs in different contexts in the future.;ACM;Conference Paper
62;A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Christofi N,Pucel X;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Successful satellite data reception requires the nominal operation of the ground stations in charge of their health monitoring as much as the spacecrafts themselves. Although the concept of Model-Based Diagnosis (MBD) in the field of autonomous systems -such as satellites, has long been researched and developed, that is not the case for their ground systems. Both satellites and ground stations operate autonomously. The latter however, are not equipped with the advanced Fault Detection, Isolation and Recovery (FDIR) capabilities one finds today on-board all orbiting spacecrafts. The aim of the study presented in this paper is the improvement of ground stations' operational diagnostics by providing the operators with ad-hock, Operations-Dedicated Models (ODMs). The latter serve as a basis for the construction of the system's Digital Twin (DT) models. These models allow the operators react more quickly and more precisely to alarms raised by the station. By helping the operators identify the malfunction and correct it in the quickest delays, they can avoid loosing the next satellite telemetry (TM) data, thus saving precious time and costs. This would increase both the availability and maintainability of the system. In a larger framework, ODMs are ideally concurrently built and connected with the engineering and safety models of the system, in a sort of virtual continuous improvement loop. While the utter purpose of ODMs is their usage as the system's DTs during operations, they also contribute to the stations' architecture and robustness continuous improvement, through increasing its fault detection and mitigation capabilities.;ACM;Conference Paper
63;Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;Somers RJ,Clark AG,Walkinshaw N,Hierons RM;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;The lack of testability of digital twins poses several difficulties when developing reliable systems. Intricate models complicate the definition of comprehensive testing criteria, and physical couplings make obtaining test data an arduous task. To alleviate these challenges, we explore the use of causal inference based testing and propose a technique to allow for correct behaviour of digital twins to be captured in causal diagrams, which are then tested with an efficient data set through the use of counterfactuals. We explore a motivating example of a robotic arm to show how this technique can confirm known causal relationships in a system, and even uncover a fault in the system which caused dangerous behaviour. Our technique localised this erroneous behaviour to a single causal relationship between two variables. Having shown this technique works with a case study, we explore its limitations and the challenges when approaching other industrial applications.;ACM;Conference Paper
64;On the Engineering of IoT-Intensive Digital Twin Software Systems;Rivera LF,Müller HA,Villegas NM,Tamura G,Jiménez M;Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops;2020.0;Digital Twins (DT) are software systems representing different aspects of a physical or conceptual counterpart---the real twin, which is instrumented with several sensors or computing devices that generate, consume and transfer data to its DT with different purposes. In other words, DT systems are, to a large extent, IoT-intensive systems. Indeed, by exploiting and managing IoT data, artificial intelligence, and big data and simulation capabilities, DTs have emerged as a promising approach to manage the virtual manifestation of real-world entities throughout their entire lifecycle. Their proliferation will contribute to realizing the long-craved convergence of virtual and physical spaces to augment things and human capabilities. In this context, despite the proposal of noteworthy contributions, we argue that DTs have not been sufficiently investigated from a software engineering perspective. To address this, in this paper we propose GEMINIS, an architectural reference model that adopts self-adaptation, control, and model-driven engineering techniques to specify the structural and behavioural aspects of DTs and enable the evolution of their internal models. Moreover, we introduce an approach for engineering IoT-intensive Digital Twin Software Systems (DTSS) using GEMINIS' capabilities to deal with uncertain conditions that are inherent to the nature of mirrored physical environments and that might compromise the fidelity of a DT. With GEMINIS and the proposed approach, we aim to advance the engineering of DTSS as well as IoT and cyber-physical systems by providing practitioners with guidelines to model and specify inherent structural and behavioural characteristics of DTs, addressing common design concerns.;ACM;Conference Paper
65;CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;Fend A,Bork D;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Cyber-physical systems (CPS) are finding increasing use, whether in factories, autonomous vehicles, or smart buildings. Monitoring the execution of CPSs is crucial since CPSs directly influence their physical environment. Like the actual system, the monitoring application must be designed, developed, and tested. Mobile CPSs, in contrast to stationary CPSs, bring the additional requirement that instances can dynamically join, leave, or fail during execution time. This dynamic behavior must also be considered in the monitoring application. This paper presents CPSAML, a language and code generation framework for the model-driven development of mobile CPS systems, including a cockpit application for monitoring and interacting with such a system. The pipeline starts with the formulation of the system and the CPSs it contains at an abstract level by the system architect using a domain-specific modeling language. Next, this model is transformed into SysML 2 for further extension and richer specificity by system engineers on a more technical level. In the last step of the pipeline, the SysML 2 model is used to generate code for the CPS devices, a system-wide digital twin, and the cockpit application mentioned above. This cockpit enables the operator to configure and apply the monitoring and interaction with the system during runtime. We evaluate our CPSAML language and code generation framework on an Indoor Transport System case study with Roomba vacuum cleaner robots.;ACM;Conference Paper
66;Virtual Soccer Champions: A Case Study on Artifact Reuse in Soccer Robot Digital Twin Construction;Walravens G,Muctadir HM,Cleophas L;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;A Digital Twin (DT) can be described as a pairing of a physical and virtual entity, in which the latter 'mimicks' the former in some sense, using data from its physical counterpart---whether real-time or historical---, for various purposes including better understanding of the physical entity's behaviour, predictive maintenance, and whatif scenario exploration. Here, we focus on the development of the virtual part of the DT in a context where the physical entity already exists, offering the potential for design and engineering artifacts from the physical entity to be reused. We performed a case study on the Turtle soccer robots developed by Eindhoven University of Technology's Tech United [6] team, to explore the possibilities of reusing artifacts for the development of the corresponding virtual entity. In this paper, we present our experiences from this case study and discuss the benefits, drawbacks, and challenges we faced.;ACM;Conference Paper
67;A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;Picone M,Mamei M,Zambonelli F;ACM Trans. Internet Things;2023.0;IoT systems based on Digital Twins (DTs) — virtual copies of physical objects and systems — can be very effective to enable data-driven services and promote better control and decisions, in particular by exploiting distributed approaches where cloud and edge computing cooperate effectively. In this context, digital twins deployed on the edge represents a new strategic element to design a new wave of distributed cyber-physical applications. Existing approaches are generally focused on fragmented and domain-specific monolithic solutions and are mainly associated to model-driven, simulative or descriptive visions. The idea of extending the DTs role to support last-mile digitalization and interoperability through a set of general purpose and well-defined properties and capabilities is still underinvestigated. In this paper, we present the novel Edge Digital Twins (EDT) architectural model and its implementation, enabling the lightweight replication of physical devices providing an efficient digital abstraction layer to support the autonomous and standard collaboration of things and services. We model the core capabilities with respect to the recent definition of the state of the art, present the software architecture and a prototype implementation. Extensive experimental analysis shows the obtained performance in multiple IoT application contexts and compares them with that of state-of-the-art approaches.;ACM;Journal Article
68;Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;Huang Y,Dhouib S,Medinacelli LP,Malenfant J;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Digital twin technology establishes the future development vision for Industry 4.0, and is also an important exploration direction for the Model-Driven Engineering (MDE) paradigm. Because it builds a more flexible and communicative production system through models that spans life cycle, hierarchy and architecture. The standard proposed under the concept of Industry 4.0, the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories. However, there is still a need to fill the gap regarding semantic interoperability, in order to allow efficient interactions between Industry 4.0 components. Ontologies are a good candidate because they provide formal semantics expressed using a knowledge representation language, and in addition, there are many associated mature tools for reasoning and inference. Therefore, we propose a modeling approach that provides semantic interoperability for AAS-based digital twins using ontologies.;ACM;Conference Paper
69;Challenges and Possible Approaches for Sustainable Digital Twinning;Bellis S,Denil J;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;The advance in digital twin technology is creating value for lots of companies. We look at the digital twin design and operation from a sustainability perspective. We identify some challenges related to a digital twin's sustainable design and operation. Finally, we look at some possible approaches, grounded in multi-paradigm modelling to help us create and deploy more sustainable twins.;ACM;Conference Paper
70;Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;Stieß S,Becker S,Ege F,Höppner S,Tichy M;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Self-adaptive systems that modify their architecture to achieve different Service Level Objectives (SLOs) are becoming well-established parts of a company's portfolio. Current systems however do a poor job of coordinating the underlying rules and explaining the system's behavior to developers. This negatively impacts a system's performance due to behaving in unintended and hard-to-comprehend ways.In this vision paper, we introduce an approach that intends to alleviate these problems, for the use-case of high-performance cloud clusters, through the use of a cyber-cyber digital twin based on the Palladio ecosystem. The conceived digital twin allows for several functions that are unexplored in literature so far: the combination of design time analysis with explainability, use of state-space prediction bounded by likelihood, and explanation of non-applicability. This is achieved through a digital twin performing three main activities:1) The predicting activity predicts system performance along several potential paths.2) The planning activity analyzes reconfiguration rules and predicted system behavior to produce reconfiguration plans that try to optimally utilize available resources and achieve all SLOs without unintended interactions between the execution of rules.3) The explaining activity processes all artifacts produced during system simulation time or runtime to provide comprehensive visualizations to developers.We explain how each activity is performed and what models it processes and produces based on a running example.;ACM;Conference Paper
71;Digital Behavioral Twins for Safe Connected Cars;Chen X,Kang E,Shiraishi S,Preciado VM,Jiang Z;Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;2018.0;Driving is a social activity which involves endless interactions with other agents on the road. Failing to locate these agents and predict their possible future actions may result in serious safety hazards. Traditionally, the responsibility for avoiding these safety hazards is solely on the drivers. With improved sensor quantity and quality, modern ADAS systems are able to accurately perceive the location and speed of other nearby vehicles and warn the driver about potential safety hazards. However, accurately predicting the behavior of a driver remains a challenging problem. In this paper, we propose a framework in which behavioral models of drivers (Digital Behavioral Twins) are shared among connected cars to predict potential future actions of neighboring vehicles, therefore improving the safety of driving. We provide mathematical formulations of models of driver behavior and the environment, and discuss challenging problems during model construction and risk analysis. We also demonstrate that our digital twins framework can accurately predict driver behaviors and effectively prevent collisions using a case study in a virtual driving simulation environment.;ACM;Conference Paper
72;Classification and Mapping of Layout Algorithms for Usage in Graph-like Modeling Languages;Wrobel G,Scheffler R;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Graph-lik>modeling languages (GLML) are important modeling artifacts for software tools that are used in the environment of software and systems engineering, digital twins, and domain-specific modeling. Just as with textual languages, the concrete syntax is the representation of the language elements intended for humans and thus has a decisive influence on the comprehensibility and usability of the language.The concrete syntax of GLML is often defined less precisely or in less detail when designing metamodels. While metamodels can be designed independently or even without concrete syntax, the latter is required for the actual usage of a graphical language. The layout and the interaction support for editing the language elements are commonly delegated to tool development. However, the development of modeling tools focuses on functionality such as model transformation and model execution, disregarding usability and handling. Low user acceptance then leads to niche applications and a limited number of users. The main reason for the lack of support for laying out and editing the language elements are complex integration challenges mainly concerning the development or adaptation of suitable layout procedures for GLML.Some frameworks offer a remedy by providing layout procedures for GLML. However, GLML differ from each other concerning their concrete syntax. Even minor differences in the concrete syntax of two languages can make the desirransferable or only transferable through complex adaptations. Formal methods for matching the concrete syntax of a GLML with existing layout procedures as early as during the development of the language are missing.In this paper, we present a classification scheme for layout procedures for GLML. The classification scheme is based on a classification scheme we developed for the concrete syntax of GLML, and it contains significant features. We define a mapping procedure between the two classifiers. As a result, the mapping decides whether a layout procedure can be used for a GLML. Both the classification scheme and the process of mapping are demonstrated in a real-world example of a technical graphical domain-specific modeling language.The presented approach supports the design of GLML and the tool development for GLML. It can be an important step towards automated tool development.;ACM;Conference Paper
73;Integration of SysML Models in a 3D Environment for Virtual Testing and Validation;Barosan I,van der Heijden J;Proceedings of the Federated Africa and Middle East Conference on Software Engineering;2022.0;Model–Driven Systems Engineering has been presented as a promising approach for developing complex systems. To address the complexity of systems, it is necessary to ensure that knowledge is transferred properly between projects, teams, and engineers. To avoid specification omissions and misinterpretations to surface in projects, clear communication is needed during the system’s development. The introduction of SysML and systems modeling was intended to improve the communication of design intent among stakeholders and engineers. System models have multiple diagrams that are all interconnected and interrelated, such that they represent a consistent view of a system. To comprehend the structure and the behavior of a complex system, proper visualization of the SysML models is needed. There are mature commercial tools that offers support to SysML modeling, and forming the major platforms for developing the SysML models. However, the current SysML modeling tools use 2-dimensional views to visualize the models, which limits the comprehension of a complex system. To overcome this limitation, the SysML models have to integrate into a 3D virtual environment. In this paper, we present the first step towards this solution by introducing the architecture and the implementation of a conversion layer, that converts a SysML model to a 3D representation. To validate the conversion layer a prototype is presented, which converts a SysML model developed with IBM Rhapsody into a 3D representation in the Unity Game Engine. The performed test showed that the complexity of the models can be comprehended more efficiently in 3D than in a 2D environment. Moreover, visualizing the SysML models in 3D offers a better understanding and insight into the structure and the behavior of a system. Coupling the 3D representation of the SysML models with the 3D CAD representation of the modeled system, as in the Digital Twin case, offers new ways of capturing the design of a complex system.;ACM;Conference Paper
74;;;;;;;
